Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Вільям Казенов,Сестри. Том 3. Вона перша почала!,Українська мова,,,,Ірбіс Комікси,2022.0,9786177569236.0,Комікси
"Брижіт Лучані,Ев Тарле",Уроки під старим деревом. Том 1,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569489.0,Комікси
Пейо,Смурфи і Каркуля,Українська мова,,,,Ірбіс Комікси,2020.0,9786177569106.0,Комікси
"Брижіт Лучані,Ев Тарле",Історії старого дерева. Том 2. Разом ми сім'я,Українська мова,,,,Ірбіс Комікси,2022.0,9786177569397.0,Комікси
Джеронімо Стілтон,"Джеронімо Стілтон Репортер.Операція ""Шуфонфон""",Українська мова,,,,Ірбіс Комікси,2023.0,9786177569410.0,Дітям 7-9
Джеронімо Стілтон,Джеронімо Стілтон Репортер. Це моя сенсація,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569458.0,Дітям 7-9
Джеронімо Стілтон,Джеронімо Стілтон Репортер. Таємниця золотої шахти,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569496.0,Дітям 7-9
"Брижіт Лучані,Ев Тарле",Історії старого дерева. Том 3. Як важливо бути собою,Українська мова,,,,Ірбіс Комікси,2023.0,9786177569441.0,Комікси
Джеронімо Стілтон,Джеронімо Стілтон. Книга 9. Льодовиковий період,Українська мова,,,,Ірбіс Комікси,2020.0,9786177569113.0,Комікси
"Шон Мерфі,Метт Ґоллінґсворт",Бетмен. Білий Лицар,Українська мова,,,,,2023.0,9786178280703.0,Комікси
"Хуан Діас Каналес,Хуанхо Ґуарнідо",Блексед. Книга 3. Амарилло та інші історії (мінімальний брак),Українська мова,,,,РМ,2021.0,9789669176578.0,Комікси
Дьоміна А.О.,Академія духів природи. Чорна вівця,Українська мова,,,,ТУТ,2024.0,9786178132439.0,Комікси
Роберт Кіркмен,Ходячі мерці. Книга 4,Українська мова,,,,Mimir Media,2023.0,9786177984220.0,Комікси
Іан Флінн,Їжак Сонік. Том 2. Доля доктора Егмана,Українська мова,,,,Mimir Media,2020.0,9786179500794.0,Комікси
Нік Еліопулос,MINECRAFT Мед їсти — у вулик лізти,Українська мова,,,,Артбукс,2023.0,9786175231142.0,Комікси
