Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
"Оксана Ларіна,Світлана Логачевська","НУШ Математика 1 клас. Навчальний посібник. Частина 1. Ларіна О., Логачевська С.",Українська мова,,,,Літера,2023.0,9789669453976.0,Математика (Школярам та абітурієнтам)
"Олена Іщенко,Світлана Логачевська",НУШ Українська мова. Буквар. Посібник для 1 класу ЗЗСО (у 6 частинах). Частина 4,Українська мова,,,,Літера,2023.0,9789669453921.0,Українська мова (Школярам та абітурієнтам)
"Олена Іщенко,Світлана Логачевська",НУШ Українська мова. Буквар. Посібник для 1 класу ЗЗСО (у 6 частинах). Частина 6,Українська мова,,,,Літера,2023.0,9789669453945.0,Українська мова (Школярам та абітурієнтам)
"Олена Іщенко,Світлана Логачевська",НУШ Українська мова. Буквар. Посібник для 1 класу ЗЗСО (у 6 частинах). Частина 5,Українська мова,,,,Літера,2023.0,9789669453938.0,Українська мова (Школярам та абітурієнтам)
Олег Таланов,Українсько-арабський розмовник,Українська / Арабська,,,,Арій,2015.0,9789664981665.0,Розмовники  (Школярам та абітурієнтам)
Олег Таланов,Українсько-фінський розмовник,Українська / Фінська,,,,Арій,2015.0,9789664982266.0,Словники (Школярам та абітурієнтам)
"Анастасія Кіпень,Юлія Геді",2000 найкорисніших угорських слів і висловів,Українська / Угорська,,,,Арій,2023.0,9789664988275.0,Словники (Школярам та абітурієнтам)
Олена Третьяк,Вивчаємо німецьку. Розмовні теми для початкової школи,Українська / Німецька,,,,Арій,2023.0,9789664988268.0,Іноземна мова (Школярам та абітурієнтам)
Олена Третьяк,Вивчаємо німецьку. Розмовні теми для середньої школи,Українська / Німецька,,,,Арій,2023.0,9789664988435.0,Іноземна мова (Школярам та абітурієнтам)
Коваль Н. Н.,"Додавання, віднімання. Збірник завдань",Українська мова,,,,АРТ,2024.0,9786170975904.0,Збірники завдань (Школярам та абітурієнтам)
,Сучасний непідручник. Українська мова,Українська мова,,,,Кристал Бук,2023.0,9786175474808.0,Підліткова література
,Сучасний непідручник. Твій внутрішній світ,Українська мова,,,,Кристал Бук,2023.0,9786175474792.0,"Школярам, абітурієнтам"
Без автора,Довідник учня. 1-4 класи,Українська мова,,,,Основа,2024.0,9786170042231.0,Збірники завдань (Школярам та абітурієнтам)
Данилевська О.М.,НУШ   5 клас ЕТИКА. Зошит. Поточне і підсумкове оцінювання,Українська мова,,,,Літера,2022.0,9789669453457.0,Контроль знань (Школярам та абітурієнтам)
Альбіна Гальперіна,НУШ   5 клас Контроль результатів навчання Математика,Українська мова,,,,Літера,2022.0,9789669453471.0,Контроль знань (Школярам та абітурієнтам)
Гальперіна А.Р.,ЗНО 2024 Математика. Типові тестові завдання.,Українська мова,,,,Літера,2023.0,9789669451712.0,Підручники з алгебри
