Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
,Облога Буші. Богдан Хмельницький (ШБ-міні),Українська мова,,,,Фоліо,,9789660383678.0,Українська проза для підлітків
Елеонор Портер,Поліанна,Українська мова,,,,BookChef,2021.0,9786175480380.0,Фантастика. Фентезі для підлітків
,Мистецтво бути офігезним,Українська мова,,,,Ранок,2021.0,9786170973566.0,Non-fiction для підлітків
Монтгомери Л.,Енн з Острова,Українська мова,,,,Фоліо,2020.0,9789660394186.0,Зарубіжна проза для підлітків
Люсі-Мод Монтгомері,Енн із Лопотливих Тополь,Українська мова,,,,Фоліо,2020.0,9789660394476.0,Зарубіжна проза для підлітків
Рид М.,Всадник без головы (БДБ),,,,,Перо,2019.0,9785353091448.0,Зарубіжна проза для підлітків
Воронина Л.,"Таємне товариство Ботанів, або Екстрим на горі Підстава",,,,,Знання,2018.0,9786170706232.0,Пригоди для підлітків
Кириченко,Страшенно-хуліганська книжка,,,,,Час майстрів,2019.0,9789669150110.0,Пригоди для підлітків
,Не кажи нікому,,,,,Ранок,2019.0,9786170957726.0,Українська проза для підлітків
Елеонор Портер,Полліанна,Українська мова,,,,Фоліо,2019.0,9789660382510.0,Зарубіжна проза для підлітків
Елеонор Портер,Полліанна дорослішає,Українська мова,,,,Фоліо,2019.0,9789660382817.0,Зарубіжна проза для підлітків
Ярослав Стельмах,Митькозавр iз Юркiвки (ШБ-мiнi),Українська мова,,,,Фоліо,,9789660363984.0,Українська проза для підлітків
Роберт Шеклі,Цивілізація статуса,Українська мова,,,,BookChef,2021.0,9789669932068.0,Фантастика. Фентезі для підлітків
Марко Вовчок,Інститутка. Маруся,Українська мова,,,,BookChef,2021.0,9789669932648.0,Зарубіжна проза для підлітків
Артур Конан Дойл,Спілка рудих. Пістрява стрічка,Українська,,,,BookChef,2021.0,9789669937094.0,Детективи для підлітків
Марі Раткоські,Прокляття переможця Книга 1,Українська мова,,,,Ранок,2021.0,9786170970350.0,Фантастика. Фентезі для підлітків
Юлія Данчук,Я обираю хобі. Путівник підлітка STEP BY STEP.,Українська мова,,,,Основа,2021.0,9786170040077.0,Дитяча психологія
Джекі Бейлі,"Школа скаутингу. Все, що треба знати для пригод просто неба",,,,,Видавництво Старого Лева,2022.0,9786176799269.0,Non-fiction для підлітків
Дарина Жолдак,Талант: інструкція з використання. Як перетворити свою творчу іскру на професію,Українська мова,,,,Видавництво Старого Лева,2021.0,9789666799749.0,Non-fiction для підлітків
Світлана Єфременкова,Емоції без фейків. Путівник підлітка step by step,Українська мова,,,,Основа,2021.0,9786170040299.0,Non-fiction для підлітків
Том Адамс,"Молодь діє: 50 дітей і підлітків, які сколихнули світ",Українська мова,,,,Ранок,2021.0,9786170972347.0,Non-fiction для підлітків
Марі Ратковські,Трилогія переможця Злочин переможця Книга 2,Українська мова,,,,Ранок,2021.0,9786170970367.0,Пригоди для підлітків
Террі Пратчетт,Ерік,Українська мова,,,,Видавництво Старого Лева,2020.0,9786176797739.0,Книги жанру Фантастика. Фентезі. Містика
Бойер П.,Скоґландія,Українська,,,,Теза,2011.0,9789664210277.0,Фантастика. Фентезі для підлітків
Мухарський А.,Легенда про квітозавра,Українська мова,,,,Фоліо,2015.0,9789660372023.0,Фантастика. Фентезі для підлітків
Крюкова,Лунный рыцарь,,,,,Ранок,,9786170921604.0,Пригоди для підлітків
Паласио,Диво,Українська мова,,,,Vivat,2018.0,9789669427175.0,Сучасна зарубіжна проза
Гюдрун Скреттінг,Антон та інші зі зграї,Українська,,,,Видавництво Старого Лева,2019.0,9786176796626.0,Пригоди для підлітків
Валер'ян Підмогильний,Невеличка драма. Роман на одну частину (м),Українська,,,,Знання,2014.0,9786170702012.0,Класика
Аліна Штефан,Реальність Барґеста,Українська,,,,Видавництво Старого Лева,2018.0,9786176795827.0,Фантастика. Фентезі для підлітків
,1000 пригод: Хаос почуттів у чаті,Українська мова,,,,Талант,2018.0,9789669355904.0,Любовні романи для підлітків
Буллен С.,1000 пригод: Серцебиття під час обміну учнями,Українська мова,,,,Талант,2018.0,9789669355812.0,Любовні романи для підлітків
Енджі Лейк,1000 пригод: Реактивний посланець справедливості (укр),,,,,Талант,2019.0,9789669356581.0,Пригоди для підлітків
Буллен С.,1000 пригод: Любовний переполох на фермі,Українська мова,,,,Талант,2018.0,9789669355911.0,Любовні романи для підлітків
Буллен С.,1000 пригод: Герой мрій на знімальному майданчику,Українська мова,,,,Талант,2018.0,9789669355805.0,Любовні романи для підлітків
Тетяна Рубан,#Фізик,Українська мова,,,,Талант,2021.0,9789669359674.0,Любовні романи для підлітків
Кулик К.О.,Найкращий подарунок: Про що мріють феї,,,,,Талант,2018.0,9789669353375.0,Пригоди для підлітків
,Найкращий подарунок: Маленький вампір (укр),,,,,Талант,2017.0,9789669352811.0,Пригоди для підлітків
Чбоски С.,Уявний друг,російська,,,,РМ,2019.0,9789669175564.0,Пригоди для підлітків
Анастасія Лавренішина,Дрімучий ліс. Шлях вовка,російська,,,,Наш формат,2019.0,9786177973255.0,Фантастика. Фентезі для підлітків
Анастасія Лавренішина,Дрімучий ліс. Шлях Відьми,Українська мова,,,,Наш формат,2019.0,9786177973231.0,Фантастика. Фентезі для підлітків
Філіп Пулман,Рубін в імлі,Українська мова,,,,Nebo BookLab Publishing,2019.0,9786177537419.0,Детективи для підлітків
,Аж ніяк не жіноче вбивство,російська,,,,Nebo BookLab Publishing,2019.0,9786177537501.0,Детективи для підлітків
