Імʼя автора,Назва книги,Мова,Перекладач,Мова оригіналу,Оригінальна назва,Назва видавця,Рік видання,ISBN,Жанр книги
Честертон Г. К.,Воскресіння патера Брауна (м) (Парал.текст),Українська мова,,,,Фоліо,2017.0,9789660378797,Білінгва. Книги іноземними мовами
Честертон Г. К.,Смиренність отця Брауна м,Українська мова,,,,Знання,2020.0,9786170703279,Детективи
Черчилль У.,ЧЕРЧІЛЛЬ. Афоризми та крилаті вислови,Українська мова,,,,Арій,2022.0,9789664984864,Афоризми і цитати
Чернов М.,Время снов,Українська,,,,Саміт-книга,2020.0,9789669861436,Сучасна зарубіжна проза
Чернов М.,Часи сновидінь,Українська мова,,,,Саміт-книга,2019.0,,Сучасна українська проза
Черній,Теплі історії мрійника (м),Українська мова,,,,Брайт Букс,2018.0,9789662665604,Сучасна українська проза
Чернієнко В.,Щоденник військового лікаря,Українська мова,,,,Фоліо,2020.0,9789660390751,Історична проза
Черниенко Ю.,Чернієнко Ю. ПОМСТА: повість,Українська мова,,,,Академія,2019.0,,Сучасна українська проза
Чеповецький Ю.,"Дивовижна подорож М`якушина, Нетака та Непосидька (мінімальний брак)",Українська мова,,,,"Видавничий дім ""Школа""",,9789664290644,Пригоди
Чеповецкий Е.,"Неймовірні пригоди М'якуша, Нетака та Непосидька (мінімальний брак)",Українська мова,,,,"Видавничий дім ""Школа""",2010.0,,Пригоди
Чемберлен Д.,Омріяна донька,Українська мова,,,,Vivat,2021.0,9789669822994,Сучасна зарубіжна проза
Чемберлен Д.,Велика брехня у маленькому місті,Українська мова,,,,Клуб сімейного дозвілля,2023.0,9786171503908,Сучасна зарубіжна проза
"Чащіна  М.,Безпала  А.,Ладиченко Т. В.",Іzоляція,Українська мова,,,,Ранок,2019.0,9786170970947,Сучасна українська проза
Чарльз Стросс,Палімпсест,Українська мова,,,,Богдан,2024.0,9789661086998,Книги жанру Фантастика. Фентезі. Містика
Чарльз Буковскі,З нотатника у винних плямах,Українська мова,,,,BookChef,2022.0,9789669933942,Сучасна зарубіжна проза
Чарльз Буковскі,Історії звичайного безуму,Українська мова,,,,BookChef,2021.0,9789669933935,Сучасна зарубіжна проза
Чарльз Буковскі,Жінки,Українська мова,,,,КМ-Букс,2018.0,9786177535651,Сучасна зарубіжна проза
Чарльз Буковскі,Сендвіч із шинкою,Українська мова,,,,КМ-Букс,2018.0,9786177535460,Класична проза
"Чарлз Діккенс,О. Генрі,Ентоні Троллоп",The Folio Book of Classic Christmas Stories (Класичні різдвяні оповідання),Англійська мова,,,,Фоліо,2023.0,9789660399280,Білінгва. Книги іноземними мовами
Чарлз Діккенс,The Folio Book of Mysterious Christmas Stories (Таємничі різдвяні історії),Англійська мова,,,,Фоліо,2023.0,9789660399112,Білінгва. Книги іноземними мовами
Чарлз Діккенс,The Cricket on the Hearth,Англійська мова,,,,Фоліо,2021.0,9789660395480,Білінгва. Книги іноземними мовами
Чарлз Діккенс,The Chimes,Англійська мова,,,,Фоліо,2021.0,9789660395473,Білінгва. Книги іноземними мовами
Чарлз Діккенс,Великі сподівання (ткань імперіал),Українська мова,,,,Фоліо,2020.0,9789660377981,Класична проза
Чарлз Діккенс,Пригоди Олівера Твіста,Українська мова,,,,Фоліо,2017.0,9789660375444,Класична проза
Чарлз Діккенс,Олiвер Твiст,Українська мова,,,,Фоліо,2020.0,9789660350120,Класична проза
Чарлз Діккенс,Oliver Twist,Англійська мова,,,,Фоліо,2023.0,9786175511695,Білінгва. Книги іноземними мовами
Чарлз Діккенс,Пригоди Олівера Твіста,Українська мова,,,,Фоліо,2023.0,9786175510377,Класична проза
Чарлз Діккенс,Дэвид Копперфильд,російська,,,,Клуб сімейного дозвілля,2020.0,9786171279605,Класична проза
Чарлз Діккенс,Новорічні дзвони. Цвіркун домашнього вогнища. “ENGLISH LIBRARY”,Українська мова,,,,Знання,2017.0,9786170704634,Класична проза
Чарлз Діккенс,Девід Коперфільд,Українська мова,,,,#Книголав,2019.0,9789664985854,Класична проза
Чарлз Діккенс,Читаємо англійською: Девід Коперфілд (Advanced),Українська,,,,Арій,2017.0,9789664985854,Іноземні мови
Чарлз Діккенс,Читаємо англійською: Великі сподівання (Advanced),Англійська мова,,,,Арій,2017.0,9789664985809,Іноземні мови
Чаклун О.,"Мікробот і галактичний пірат.Мікробот і той,кого нема",Українська мова,,,,Vivat,2020.0,9789669821157,Пригоди
Чаклун О.,Мікробот і роботи Веселки. Мікробот і кам'яний дракон,Українська мова,,,,Vivat,2021.0,9789669821140,Пригоди
Чак Поланік,Невидимі монстри,Українська мова,,,,Клуб сімейного дозвілля,2023.0,9786171299344,Сучасна зарубіжна проза
Чабуа Аміреджебі,Дата Туташхіа,Українська мова,,,,Фоліо,2018.0,9789660377714,Сучасна зарубіжна проза
Цой Т.,"Мені байдуже, що люди скажуть",Українська мова,,,,Білка,2020.0,9786177792146,Сучасна українська проза
Ціллат А.,Флечер Ніс-інформатор і смердогармата,Українська мова,,,,Vivat,2019.0,9789669429797,Пригоди
Ціллат А.,"Флечер. Ох, у трубах переполох",Українська мова,,,,Vivat,2019.0,9789669429544,Пригоди
Цимбалюк,Латинськi крилатi вирази н (Миниатюра),Українська мова,,,,Фоліо,,9789660348233,Афоризми і цитати
Цикіна Г.,Коли молот зустрічається з ковадлом,Українська мова,,,,Фоліо,2020.0,9789660389731,Сучасна українська проза
Циганчук К.,Хто тебе вбив?,Українська мова,,,,Фоліо,2023.0,9789660397651,Детективи
Циганчук К.,Кубик Рубіка,Українська мова,,,,Фабула,2019.0,,Детективи
Циганчук К.,По той бік пам’яті,Українська мова,,,,Дім химер,2019.0,9789669787064,Книги жанру Фантастика. Фентезі. Містика
Цзя  Май,Дешифрувати,Українська мова,,,,Сафран,2019.0,9789669788320,Трилер
Цесис В.,"Нотатки сільського лікаря, або Лікуватися задарма - дарма лікуватися",Українська мова,,,,Каюла,2016.0,,Сучасна українська проза
Цейтлин О.,Тривалі бесіди в очікуванні щасливої смерті,Українська мова,,,,Каюла,2017.0,,Поезія
Цейтлин Е.,Тривалі бесіди в очікуванні щасливої смерті,Українська мова,,,,Каюла,2017.0,9786177390335,Сучасна зарубіжна проза
Цветаева М.,Под лаской плюшевого пледа...,російська,,,,Клуб сімейного дозвілля,2021.0,9786171283077,Класична проза
Цвейг Стефан,"Бій з демоном: Гельдерлін, Кляйст, Ніцше",Українська мова,,,,Фоліо,2022.0,9789660396180,Класична проза
Цвейг Стефан,Марія Стюарт,Українська мова,,,,Фоліо,2017.0,9789660379886,Класична проза
Цвейг Стефан,Нетерпіння серця,Українська мова,,,,Фоліо,2017.0,9789660379879,Класична проза
Цвейг Стефан,Магеллан. Амеріґо,Українська мова,,,,Фоліо,2020.0,9789660377417,Класична проза
Цвейг Стефан,Марія Антуанетта,Українська мова,,,,Фоліо,2024.0,9789660377066,Класична проза
